,REFCODE,Habit,Solvent,SMILES
1,ABABOX,plate,diethyl ether,OC1(CC2CCCC(CC(=O)c3ccccc3)N2C(=O)C1Cl)c1ccccc1
3,ABAJUK,block,methanol,COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O
4,ABAKIZ,block,ethanol,CCC(C=Cc1ccc(F)cc1)=C(C#N)C#N
7,ABAMAS,plate,ethanol,CC(C)(C)C(Nc1cccc(c1)P(=O)(c1ccccc1)c1ccccc1)C(C)(C)C
13,ABAVUW,block,acetone,COc1cc(cc(C=NO)c1O)C(C)(C)C
14,ABAWAD,block,hexane,CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1
18,ABAWUY,needle,ethanol,CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccccc1
19,ABAXAF,needle,ethanol,Cc1ccccc1c1cc(nc(N)n1)C1=C(C)N(Cc2ccccc2)N=N1
20,ABEDOA01,needle,ethanol,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO
26,ABEGIY,block,ethyl acetate,O=C1OC(=CC=C1)C=Cc1ccccc1
27,ABEGOE,block,ethanol,CCOC(=O)CN1C(=O)N(C)C2=C(N(C)C=N2)C1=O
28,ABEHAR,prism,diethyl ether,Cc1cc(C)c(c(C)c1)C1(C)CC(C1)C(=O)CN1CCCC1
29,ABEHAS,prism,diethyl ether,CC1(CCC2=C(C1)Nc1ccc(Br)cc21)CN(=O)=O
30,ABEHIZ,prism,ethanol,CSc1ccccc1NC(=O)c1cccc(n1)C(=O)Nc1ccccc1SC
31,ABEHUL,needle,hexane,CN1CCC(CC1)(C#N)C1=CSc2ccccc12
32,ABEJIB,block,ethyl acetate,CCOC1(CCC(=O)N1C)C(C)O
33,ABEKEY,plate,methanol,N(N=CC1=CC=CS1)c1ccccc1
34,ABEKIC,block,ethanol,CC(=O)NC1=C(C(=O)Nc2ccccc2C)C(=C(C)S1)C
36,ABEKUO,block,ethanol,CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1
37,ABELAV,block,ethanol,CCOc1ccccc1C1=Nc2ccccc2N1CC
41,ABEMIE,prism,tetrahydrofuran,CN(C)P(=O)(N(C)C)N1C(=Nc2ccccc12)N
43,ABENAX,block,methanol,COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O
47,ABENOM,block,toluene,OCC1Cc2ccccc2CN1
48,ABENUQ,prism,ethanol,OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O
