,REFCODE,Habit,Solvent,SMILES
0,ABABIR,tab,ether,OC1(CC2CCCC(CC(=O)c3ccccc3)N2C(=O)C1)c1ccccc1
1,ABABOX,plate,ether,OC1(CC2CCCC(CC(=O)c3ccccc3)N2C(=O)C1Cl)c1ccccc1
2,ABAJIY,block,chloroform/hexane,COc1ccc2ccc(OC)c(C(=O)c3c(C)cc(C)cc3C)c2c1
3,ABAJUK,block,methanol,COc1cc(Br)cc(C=NNC(=O)CC2=CNc3ccccc23)c1O
4,ABAKIZ,block,ethanol,CCC(C=Cc1ccc(F)cc1)=C(C#N)C#N
5,ABAKUK,block,ethanol/hexane,CCC1OC(=O)C(NC(=O)OC(C)(C)C)C1C
6,ABALAT01,needle,Hexane/Ethyl Acetate,COC(C(C)C)C(=O)NC(C)c1ccccc1
7,ABAMAS,plate,ethanol,CC(C)(C)C(Nc1cccc(c1)P(=O)(c1ccccc1)c1ccccc1)C(C)(C)C
8,ABATOO,block,hexane/chloroform,CC(C)(C)c1ccc(O)c(C=NO)c1
9,ABAVAC,plate,dichloroethane,CC(C)(C)c1cc(C=NO)c(O)c(c1)C(C)(C)C
10,ABAVEG,block,chloroform,CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O
11,ABAVIK,plate,hexane/chloroform,CC(C)(C)c1cc(Cl)c(O)c(C=NO)c1
12,ABAVOQ,block,hexane/chloroform,CC(C)(C)c1cc(Br)c(O)c(C=NO)c1
13,ABAVUW,block,acetone,COc1cc(cc(C=NO)c1O)C(C)(C)C
14,ABAWAD,block,hexane,CC(C)(C)CC(C)(C)c1ccc(O)c(C=NO)c1
15,ABAWEH,block,chloroform,CC(C)(C)CC(C)(C)c1cc(C=NO)c(O)c(c1)N(=O)=O
16,ABAWIL,lath,toluene,ON=Cc1cccc(Br)c1O
17,ABAWOS,BLOCK,"N,N-dimethylformamide",Cc1ccc(cc1)S(=O)(=O)Nc1c(F)cccc1C1=NCCO1
18,ABAWUY,needle,Ethanol,CC1=C(N=NN1Cc1ccccc1)c1cc(nc(N)n1)c1ccccc1
19,ABAXAF,needle,Ethanol,Cc1ccccc1c1cc(nc(N)n1)C1=C(C)N(Cc2ccccc2)N=N1
20,ABEDOA01,needle,ethanol,OCCCOCC1=CSC(=N1)C1=NC(=C(S1)C1=C(COCCCO)N=C(S1)C1=NC(=CS1)COCCCO)COCCCO
21,ABEFAP,block,pyridine,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1OC
22,ABEFOD,block,DMF/methanol,Clc1ccc(cc1)C=C1CCCCCCC1=O
23,ABEFUJ01,block,propanol,S=C1NN=C(Cc2ccccc2)N1c1ccccc1
24,ABEGAQ,plate,ethanol-water,COC(=O)C1=C(SC(=N1)N)C(C)C
25,ABEGEU,elongated prism,acetonitrile,Oc1cccc(c1)C#N
26,ABEGIY,block,ethyl acetate,O=C1OC(=CC=C1)C=Cc1ccccc1
27,ABEGOE,block,ethanol,CCOC(=O)CN1C(=O)N(C)C2=C(N(C)C=N2)C1=O
28,ABEHAR,prism,diethyl ether,Cc1cc(C)c(c(C)c1)C1(C)CC(C1)C(=O)CN1CCCC1
29,ABEHAS,prismatic,diethyl ether,CC1(CCC2=C(C1)Nc1ccc(Br)cc21)CN(=O)=O
30,ABEHIZ,prism,ethanol,CSc1ccccc1NC(=O)c1cccc(n1)C(=O)Nc1ccccc1SC
31,ABEHUL,rod,hexane,CN1CCC(CC1)(C#N)C1=CSc2ccccc12
32,ABEJIB,block,ethyl acetate,CCOC1(CCC(=O)N1C)C(C)O
33,ABEKEY,plate,methanol,N(N=CC1=CC=CS1)c1ccccc1
34,ABEKIC,block,ethanol,CC(=O)NC1=C(C(=O)Nc2ccccc2C)C(=C(C)S1)C
35,ABEKOJ,needle,hexane/methanol,CCOC(=O)C(Cc1ccc(Br)cc1)(C1CC(=O)N(Cc2ccccc2)C1=O)N(=O)=O
36,ABEKUO,block,ethanol,CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1
37,ABELAV,block,ethanol,CCOc1ccccc1C1=Nc2ccccc2N1CC
38,ABELAW,plate,dichloromethane/methanol,CC(=O)NN(CC(N)=O)C(C)=O
39,ABELEZ,cut needle,hexanes,CC1(C)C2CCC31CS(=O)(=O)N(C3C2)C(=O)C1=C(C2C3CCC(C3)C12)c1ccccc1
40,ABEMEA,rod,ethanol-dioxane,Oc1ccccc1C1=NNC(=S)N1c1ccccc1
41,ABEMIE,prism,THF,CN(C)P(=O)(N(C)C)N1C(=Nc2ccccc12)N
42,ABEMUQ,tablet,ethanol,Cc1ncc(CO)c(C(N2CC3(CCCCC3)OB(O2)c2ccccc2)c2ccccc2)c1O
43,ABENAX,block,methanol,COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O
44,ABENAZ,tabular,dichloromethane/methanol,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Cl)cc1
45,ABENEB,rod,dichloromethane-hexane,OC(=O)c1cc(F)ccc1O
46,ABENED,block,dichloromethane/methanol,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Br)cc1
47,ABENOM,block,toluene,OCC1Cc2ccccc2CN1
48,ABENUQ,prism,ethanol,OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O
49,ABEPED,plate,chloroform/hexane,COC(=O)C1OC(C(C)N=[N+]=[N-])C1O
50,ABEPIH,block,anhydrous ethanol,CC1=CN(CC(O)=O)C(=O)NC1=O
51,ABEPON,needle,dichloromethane,CCN1c2ccc(cc2c2cc(C)cc(c12)N(=O)=O)N(=O)=O
52,ABEQAA,block,ethanol,CC12Nc3ccccc3OC1(C)Nc1ccccc1O2
53,ABEQAC,Block,hexane,O=C(c1ccccc1)c1nc2ccccc2nc1c1ccccc1
54,ABEQII,block,methanol,COCC1S(=O)CCCS1=O
